timestep,demand,raw_core_demand,active_vm_count
800,0.9142819989899352,103731.24569447606,828406
801,0.9143640022456089,103740.54949775714,827946
802,0.9136330712360856,103657.62061561976,827267
803,0.9126561807231232,103546.78602636977,826570
804,0.9142073631672958,103722.77777444223,827389
805,0.9142855697029777,103731.65081511972,826740
806,0.914401683983762,103744.82473629719,826784
807,0.9137317921058676,103668.82114107016,826302
808,0.915123235785469,103826.6894862396,827979
809,0.9149565742167433,103807.78064613073,827621
810,0.9148291519085612,103793.32375561818,827544
811,0.9142931871469885,103732.51506374008,827408
812,0.9158114686150849,103904.77398185777,828821
813,0.9153965632978461,103857.7002721599,828091
814,0.9155006775928359,103869.51271681683,828615
815,0.915402622366239,103858.3877129198,829033
816,0.9173453467586248,104078.80244435479,831812
817,0.9170731519445342,104047.92017043012,831935
818,0.9176089793366937,104108.7132768539,833002
819,0.9183277258803567,104190.25975200612,833243
820,0.9211296084638287,104508.15157421667,836640
821,0.9238735729723652,104819.47221371999,838225
822,0.9245850919522476,104900.19867470248,839465
823,0.923688837728717,104798.51279751309,839122
824,0.9255632660384916,105011.17889369864,842407
825,0.9258960326060972,105048.93342744352,842897
826,0.9248232432878115,104927.2184943305,841723
827,0.9234511601507462,104771.54672876866,841906
828,0.9257469255403646,105032.01625999696,843894
829,0.924880894112127,104933.7593557148,842556
830,0.9243879549416399,104877.83219728588,842249
831,0.9218479281630022,104589.64962108237,840917
832,0.9238530188902886,104817.14021928034,841910
833,0.9260027440348462,105061.04053383542,842505
834,0.9270166886288143,105176.0791498354,843073
835,0.9274510473787784,105225.35997813765,843753
836,0.9279056053528438,105276.93253993179,844082
837,0.9269630810343629,105169.99701920472,843258
838,0.9275621460764308,105237.96484875225,843697
839,0.926900997990666,105162.95329367333,843664
840,0.9268966977383243,105162.46540204613,844542
841,0.9255284119075058,105007.22446560232,842767
842,0.9259142165933886,105050.99651919804,842267
843,0.9293106326140805,105436.34203088074,844916
844,0.9311280663305705,105642.54171936518,846730
845,0.9289119714027243,105391.11132076096,844276
846,0.9281289793109727,105302.27576987399,843618
847,0.9269500600990396,105168.51970931272,843100
